Curve Energy
0.0 -1017.050082881669
250.0 -1017.144486300495
500.0 -1018.193711919447
750.0 -1016.129112104206
1000.0 -1017.698610257998
1250.0 -1018.933739780553
1500.0 -1017.483615668949
1750.0 -1017.20547675844
2000.0 -1017.910401415444
2250.0 -1016.884365894027
2500.0 -1016.863873672852
2750.0 -1016.246295761893
3000.0 -1017.666844794581
3250.0 -1017.390812256021
3500.0 -1016.655303451102
3750.0 -1016.951259089551
4000.0 -1018.584920560991
4250.0 -1017.720273422218
4500.0 -1018.531588840772
4750.0 -1017.016459881355
5000.0 -1016.371458203804
5250.0 -1016.420622621395
5500.0 -1016.60020441386
5750.0 -1018.565544458812
6000.0 -1020.562092615613
6250.0 -1021.623992211975
6500.0 -1023.99104969931
6750.000000000001 -1024.457941735446
6999.999999999999 -1026.636604138738
7250.0 -1028.04355131988
7500.0 -1029.111183074509
7750.0 -1030.658330335513
8000.0 -1031.556728066551
8250.0 -1032.931174651011
8500.0 -1033.396656914538
8750.0 -1034.234567684177
9000.0 -1035.677384480919
9250.0 -1036.10603877969
9500.0 -1036.170374605647
9750.0 -1035.289589255664
10000.0 -1036.186763270294
10250.0 -1035.449621244397
10500.0 -1036.30001794734
10750.0 -1036.150960511593
11000.0 -1034.310019430655
11250.0 -1035.836519049524
11500.0 -1036.875910947266
11750.0 -1035.393825870915
12000.0 -1035.477204907421
12250.0 -1035.592416975547
12500.0 -1035.537330905786
12750.0 -1035.319194830638
13000.0 -1035.089098718002
13250.0 -1035.571456403458
13500.0 -1036.369392319152
13750.0 -1035.097448169958
14000.0 -1036.003331950553
14250.0 -1036.982043587808
14500.0 -1037.857044806173
14750.0 -1039.427226639435
15000.0 -1040.61455532977
15250.0 -1041.11715693103
15500.0 -1042.3513506912
15750.0 -1043.770078923273
16000.0 -1045.084641183201
16250.0 -1046.107792104777
16500.0 -1047.431438028767
16750.0 -1048.54122318266
17000.0 -1049.738713104397
17250.0 -1050.781957639476
17500.0 -1052.183401431082
17750.0 -1053.085007720829
18000.0 -1053.358756754914
18250.0 -1053.044816435112
18500.0 -1053.485169074025
18750.0 -1053.410905498946
19000.0 -1052.984414935915
19250.0 -1053.358908609146
19500.0 -1053.398199560366
19750.0 -1053.663644108743
20000.0 -1053.487371516506
20250.0 -1053.031658957545
20500.0 -1053.290427560162
20750.0 -1053.652506394243
21000.0 -1053.486707140171
21250.0 -1053.840328617552
21500.0 -1053.429816131645
21750.0 -1053.347959334559
22000.0 -1052.816042946734
22250.0 -1053.315554247709
22500.0 -1053.221282384138
22750.0 -1053.663298679536
23000.0 -1054.388718133881
23250.0 -1055.673989354712
23500.0 -1056.882173683246
23750.0 -1058.712982508154
24000.0 -1059.68636932233
24250.0 -1060.098647394218
24500.0 -1061.716407665106
24750.0 -1062.608644929842
25000.0 -1063.649915201479
25250.0 -1064.846763314144
25500.0 -1066.108247215119
25750.0 -1067.293560196855
26000.0 -1068.258125197528
26250.0 -1069.518597633969
26500.0 -1070.135138347076
26750.0 -1070.391628864344
27000.0 -1070.661619608116
27250.0 -1070.495508997956
27500.0 -1070.353323340839
27750.0 -1070.51766913417
28000.0 -1070.56201077621
28250.0 -1070.427217348963
28500.0 -1070.375916867899
28750.0 -1070.592830651491
29000.0 -1070.473689273239
29250.0 -1070.505713275645
29500.0 -1070.491293440341
29750.0 -1070.481410152557
30000.0 -1070.469363516222
30250.0 -1070.349697207563
30500.0 -1070.362690074064
30750.0 -1070.350486475486
31000.0 -1070.555596391029
31250.0 -1070.273372023987
31500.0 -1070.466787233616
31750.0 -1070.507696095597
32000.0 -1070.453483233182
32250.0 -1070.68868762402
32500.0 -1070.63018113849
32750.0 -1070.51911798399
33000.0 -1070.433520540598
33250.0 -1070.502273019631
33500.0 -1070.579491189854
33750.0 -1070.509042793685
34000.0 -1070.403683173287
34250.0 -1070.393695614664
34500.0 -1070.324941291573
34750.0 -1070.495919509879
35000.0 -1070.431939488633
35250.0 -1070.523900699502
35500.0 -1070.454634228303
35750.0 -1070.384459818506
36000.0 -1070.473852917825
36250.0 -1070.372657808908
36500.0 -1070.681653918231
36750.0 -1070.656268176326
37000.0 -1070.399336508784
37250.0 -1070.511577295932
37500.0 -1070.460335093332
Curve MD-BerTstat1Temperature
0.0 0.0
250.0 688.4683357969718
500.0 666.872084363246
750.0 703.4434900167636
1000.0 698.3671911671879
1250.0 690.0892348119036
1500.0 692.8179812835945
1750.0 686.4060928634441
2000.0 729.794808491775
2250.0 698.4900247184904
2500.0 704.6271850107561
2750.0 696.9973667229999
3000.0 706.9013339732714
3250.0 706.6698025747426
3500.0 688.5044629796679
3750.0 705.06937633506
4000.0 678.2677412000087
4250.0 670.4199127821196
4500.0 703.4014397520117
4750.0 731.2334200086113
5000.0 670.2584400747096
5250.0 718.3425710967363
5500.0 643.8068242042439
5750.0 661.3689146779614
6000.0 684.5917453294512
6250.0 625.9596793872689
6500.0 637.5993662101982
6750.000000000001 650.4244156415164
6999.999999999999 596.486100936618
7250.0 597.7601089659616
7500.0 592.5868479325796
7750.0 524.0047859670835
8000.0 545.029341143614
8250.0 539.4857679635369
8500.0 515.5633672632438
8750.0 520.353252644167
9000.0 514.5347430575536
9250.0 492.9606250105059
9500.0 484.1419854023278
9750.0 506.8278988989061
10000.0 504.3788787613923
10250.0 504.6848595576289
10500.0 506.6341677123104
10750.0 524.9464615089694
